SWPROT,Gene,description,AverageFC_Vehicle,AverageFC_LPSLPS,LPSLPS_Log2FC,pvalue_ttest1
P04156,PRNP,Major prion protein,17.565,17.4825,-0.0825,0.486309578
P08237,PFKM,"ATP-dependent 6-phosphofructokinase, muscle type",18.95,18.9025,-0.0475,0.48579823
P13747,HLA-E,"HLA class I histocompatibility antigen, alpha chain E",19.0975,19.275,0.1775,0.485790341
Q13535,ATR,Serine/threonine-protein kinase ATR,17.9,17.78,-0.12,0.485278425
Q9H939,PSTPIP2,Proline-serine-threonine phosphatase-interacting protein 2,21.005,20.9575,-0.0475,0.482058732
A7E2V4,ZSWIM8,Zinc finger SWIM domain-containing protein 8,18.6125,18.5625,-0.05,0.481879086
Q7Z2K6,ERMP1,Endoplasmic reticulum metallopeptidase 1,18.6375,18.5725,-0.065,0.481393432
P04424,ASL,Argininosuccinate lyase,21.3075,21.28,-0.0275,0.480718061
P18754,RCC1,Regulator of chromosome condensation,21.0625,21.0275,-0.035,0.479846125
O95150,TNFSF15,Tumor necrosis factor ligand superfamily member 15,19.17,19.245,0.075,0.47958739
P56537,EIF6,Eukaryotic translation initiation factor 6,21.455,21.4,-0.055,0.478574043
Q9NPI6,DCP1A,mRNA-decapping enzyme 1A,19.665,19.6075,-0.0575,0.476576779
Q9Y2R5,MRPS17,"28S ribosomal protein S17, mitochondrial",17.7525,17.7075,-0.045,0.474296753
O43676,NDUFB3,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3,20.4675,20.4225,-0.045,0.474296753
P30825,SLC7A1,High affinity cationic amino acid transporter 1,18.175,17.9175,-0.2575,0.473543122
P01008,SERPINC1,Antithrombin-III,20.5475,20.66,0.1125,0.473015427
Q8IX04,UEVLD,Ubiquitin-conjugating enzyme E2 variant 3,18.4675,18.38,-0.0875,0.472649437
Q02447,SP3,Transcription factor Sp3,17.9425,17.9775,0.035,0.470803499
Q8NHV1,GIMAP7,GTPase IMAP family member 7,19.985,19.9525,-0.0325,0.470418796
Q14137,BOP1,Ribosome biogenesis protein BOP1,20.2375,20.1425,-0.095,0.470082433
Q8WWQ0,PHIP,PH-interacting protein,20.8525,20.9325,0.08,0.469428278
Q9C002,NMES1,Normal mucosa of esophagus-specific gene 1 protein,22.535,22.5575,0.0225,0.468706567
Q9NQ25,SLAMF7,SLAM family member 7,20.6575,20.755,0.0975,0.465314342
O95834,EML2,Echinoderm microtubule-associated protein-like 2,20.7975,20.7475,-0.05,0.464860711
P61224,RAP1B,Ras-related protein Rap-1b,24.5575,24.485,-0.0725,0.464564296
P0DMV8,HSPA1A,Heat shock 70 kDa protein 1A,26.3025,26.3475,0.045,0.464104867
Q14289,PTK2B,Protein-tyrosine kinase 2-beta,23.5625,23.54,-0.0225,0.464104867
Q99735,MGST2,Microsomal glutathione S-transferase 2,17.805,17.7425,-0.0625,0.463312604
Q8N684,CPSF7,Cleavage and polyadenylation specificity factor subunit 7,21.8725,21.825,-0.0475,0.463120901
P49662,CASP4,Caspase-4,21.1775,21.215,0.0375,0.462230725
P07358,C8B,Complement component C8 beta chain,19.0925,19.2075,0.115,0.459660514
O95236,APOL3,Apolipoprotein L3,18.6475,18.575,-0.0725,0.457719626
O95497,VNN1,Pantetheinase,16.335,16.5775,0.2425,0.45739795
Q9UDX5,MTFP1,Mitochondrial fission process protein 1,16.9775,16.8925,-0.085,0.45659264
Q12962,TAF10,Transcription initiation factor TFIID subunit 10,17.7325,17.615,-0.1175,0.455614459
Q92982,NINJ1,Ninjurin-1,17.915,18.005,0.09,0.455453403
Q9Y5A7,NUB1,NEDD8 ultimate buster 1,20.0075,19.9275,-0.08,0.453340855
P30044,PRDX5,"Peroxiredoxin-5, mitochondrial",23.72,23.69,-0.03,0.452992843
Q9UQL6,HDAC5,Histone deacetylase 5,18.9475,18.7925,-0.155,0.452659061
Q08722,CD47,Leukocyte surface antigen CD47,20.7225,20.6525,-0.07,0.451737392
Q93084,ATP2A3,Sarcoplasmic/endoplasmic reticulum calcium ATPase 3,22.6,22.535,-0.065,0.450485969
O14964,HGS,Hepatocyte growth factor-regulated tyrosine kinase substrate,22.595,22.5125,-0.0825,0.450138083
P28074,PSMB5,Proteasome subunit beta type-5,19.785,19.745,-0.04,0.448586435
Q9UHR5,SAP30BP,SAP30-binding protein,20.1075,20.0625,-0.045,0.448288915
P19440,GGT1,Gamma-glutamyltranspeptidase 1,18.8275,18.765,-0.0625,0.4481364
Q99447,PCYT2,Ethanolamine-phosphate cytidylyltransferase,20.0225,20.14,0.1175,0.44793488
Q9NP81,SARS2,"Serine--tRNA ligase, mitochondrial",20.125,20.0925,-0.0325,0.444989811
O00602,FCN1,Ficolin-1,22.5,22.48,-0.02,0.443707136
Q9UKJ1,PILRA,Paired immunoglobulin-like type 2 receptor alpha,20.295,20.335,0.04,0.443707136
Q9H9Q2,COPS7B,COP9 signalosome complex subunit 7b,19.755,19.7125,-0.0425,0.442815526
Q8IU85,CAMK1D,Calcium/calmodulin-dependent protein kinase type 1D,17.8125,17.78,-0.0325,0.442494153
Q9NP73,ALG13,Putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13,17.675,17.61,-0.065,0.442494153
O95793,STAU1,Double-stranded RNA-binding protein Staufen homolog 1,21.25,21.1775,-0.0725,0.442204161
Q8IY22,CMIP,C-Maf-inducing protein,17.045,16.955,-0.09,0.441497052
Q15293,RCN1,Reticulocalbin-1,21.5825,21.4975,-0.085,0.439859152
Q14197,ICT1,"Peptidyl-tRNA hydrolase ICT1, mitochondrial",18.8125,18.7125,-0.1,0.438087281
P00915,CA1,Carbonic anhydrase 1,22.0925,21.775,-0.3175,0.43769842
Q6IQ22,RAB12,Ras-related protein Rab-12,19.7775,19.81,0.0325,0.437401331
Q9BQE3,TUBA1C,Tubulin alpha-1C chain,18.945,18.875,-0.07,0.436718642
P35527,KRT9,"Keratin, type I cytoskeletal 9",23.52,23.3175,-0.2025,0.434375056
Q8TCU6,PREX1,"Phosphatidylinositol 3,4,5-trisphosphate-dependent Rac exchanger 1 protein",20.945,20.8975,-0.0475,0.433522728
O43414,ERI3,ERI1 exoribonuclease 3,18.4325,18.3375,-0.095,0.433214195
P01854,IGHE,Ig epsilon chain C region,18.3975,18.485,0.0875,0.432358532
Q8TDY2,RB1CC1,RB1-inducible coiled-coil protein 1,19.945,19.895,-0.05,0.43201546
Q8TAG9,EXOC6,Exocyst complex component 6,20.1125,20.0525,-0.06,0.430827769
Q86U44,METTL3,N6-adenosine-methyltransferase 70 kDa subunit,21.2925,21.2275,-0.065,0.430168062
O94766,B3GAT3,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3,17.9375,17.8475,-0.09,0.429954904
P63165,SUMO1,Small ubiquitin-related modifier 1,19.7425,19.6775,-0.065,0.429496746
Q9NSY2,STARD5,StAR-related lipid transfer protein 5,18.1875,17.7725,-0.415,0.429452324
Q13625,TP53BP2,Apoptosis-stimulating of p53 protein 2,18.0225,17.93,-0.0925,0.426718107
Q9H4B7,TUBB1,Tubulin beta-1 chain,18.9825,19.235,0.2525,0.425548693
Q96SI9,STRBP,Spermatid perinuclear RNA-binding protein,18.4425,18.365,-0.0775,0.424259227
Q9BZQ2,SHCBP1L,SHC SH2 domain-binding protein 1-like protein,18.2375,18.445,0.2075,0.42326545
Q9NVC3,SLC38A7,Putative sodium-coupled neutral amino acid transporter 7,17.4725,17.4125,-0.06,0.42200767
Q99490,AGAP2,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2",17.6775,17.9,0.2225,0.421989132
P01834,IGKC,Ig kappa chain C region,19.21,19.1275,-0.0825,0.418429527
Q8NB37,PDDC1,Parkinson disease 7 domain-containing protein 1,19.9475,20.02,0.0725,0.417401752
P49773,HINT1,Histidine triad nucleotide-binding protein 1,22.2475,22.1225,-0.125,0.416466136
Q9BZI7,UPF3B,Regulator of nonsense transcripts 3B,20.38,20.05,-0.33,0.416067943
Q9UK53,ING1,Inhibitor of growth protein 1,17.3575,17.275,-0.0825,0.415311838
Q9H0F6,SHARPIN,Sharpin,18.8775,18.8025,-0.075,0.41414119
O60830,TIMM17B,Mitochondrial import inner membrane translocase subunit Tim17-B,16.07,15.9475,-0.1225,0.411520472
O94855,SEC24D,Protein transport protein Sec24D,23.4175,23.295,-0.1225,0.410896876
Q9NVQ4,FAIM,Fas apoptotic inhibitory molecule 1,19.06,18.8725,-0.1875,0.408735356
O95714,HERC2,E3 ubiquitin-protein ligase HERC2,18.9525,19.0525,0.1,0.408178749
P27105,STOM,Erythrocyte band 7 integral membrane protein,21.815,21.62,-0.195,0.407617451
Q9H082,RAB33B,Ras-related protein Rab-33B,19.175,19.09,-0.085,0.407049062
Q8IUE6,HIST2H2AB,Histone H2A type 2-B,20.34,20.445,0.105,0.405771569
Q96DB5,RMDN1,Regulator of microtubule dynamics protein 1,21.39,21.31,-0.08,0.405046887
P69892,HBG2,Hemoglobin subunit gamma-2,20.3975,20.17,-0.2275,0.404714313
Q9BRV8,SIKE1,Suppressor of IKBKE 1,18.32,18.225,-0.095,0.40466365
Q16762,TST,Thiosulfate sulfurtransferase,21.7475,21.68,-0.0675,0.404182538
Q96BR1,SGK3,Serine/threonine-protein kinase Sgk3,19.655,19.5125,-0.1425,0.403030282
P12724,RNASE3,Eosinophil cationic protein,20.68,20.5625,-0.1175,0.402881311
O75175,CNOT3,CCR4-NOT transcription complex subunit 3,20.7875,20.745,-0.0425,0.402140864
P35251,RFC1,Replication factor C subunit 1,19.86,19.745,-0.115,0.401168608
Q9Y228,TRAF3IP3,TRAF3-interacting JNK-activating modulator,21.1475,21.0925,-0.055,0.401006668
Q9BVQ7,SPATA5L1,Spermatogenesis-associated protein 5-like protein 1,16.845,16.765,-0.08,0.39995728
Q86US8,SMG6,Telomerase-binding protein EST1A,16.8425,16.72,-0.1225,0.398443671
P00973,OAS1,2'-5'-oligoadenylate synthase 1,18.8275,18.7375,-0.09,0.398110024
Q5QJE6,DNTTIP2,Deoxynucleotidyltransferase terminal-interacting protein 2,21.8025,21.78,-0.0225,0.397698669
P30536,TSPO,Translocator protein,23.5175,23.3975,-0.12,0.395499365
P05412,JUN,Transcription factor AP-1,17.0575,17.1775,0.12,0.391241373
P49247,RPIA,Ribose-5-phosphate isomerase,18.6025,18.515,-0.0875,0.390100126
Q9H330,TMEM245,Transmembrane protein 245,16.65,16.5025,-0.1475,0.38635749
Q9H098,FAM107B,Protein FAM107B,21.7625,21.68,-0.0825,0.385357126
P05362,ICAM1,Intercellular adhesion molecule 1,23.3225,23.25,-0.0725,0.383662838
Q8NDA8,MROH1,Maestro heat-like repeat-containing protein family member 1,19.5025,19.42,-0.0825,0.382212342
Q96S82,UBL7,Ubiquitin-like protein 7,19.0925,19.375,0.2825,0.38150553
Q4G176,ACSF3,"Acyl-CoA synthetase family member 3, mitochondrial",21.05,20.965,-0.085,0.3807376
P14384,CPM,Carboxypeptidase M,21.2225,21.12,-0.1025,0.380233041
Q5VU43,PDE4DIP,Myomegalin,21.0925,21.115,0.0225,0.376924412
P15509,CSF2RA,Granulocyte-macrophage colony-stimulating factor receptor subunit alpha,20.185,20.13,-0.055,0.376864239
O95684,FGFR1OP,FGFR1 oncogene partner,17.0475,16.9225,-0.125,0.374487744
A0AVT1,UBA6,Ubiquitin-like modifier-activating enzyme 6,23.4325,23.3675,-0.065,0.374018522
Q8NFI3,ENGASE,Cytosolic endo-beta-N-acetylglucosaminidase,17.965,17.85,-0.115,0.373340433
Q9NUU6,FAM105A,Inactive ubiquitin thioesterase FAM105A,21.1425,21.1625,0.02,0.373021362
O15523,DDX3Y,ATP-dependent RNA helicase DDX3Y,20.425,20.345,-0.08,0.372434048
Q9P289,STK26,Serine/threonine-protein kinase 26,22.4,22.35,-0.05,0.37226931
Q9Y303,AMDHD2,Putative N-acetylglucosamine-6-phosphate deacetylase,18.57,18.4125,-0.1575,0.371964249
P54652,HSPA2,Heat shock-related 70 kDa protein 2,19.775,19.685,-0.09,0.371859676
Q02539,HIST1H1A,Histone H1.1,20.995,20.9625,-0.0325,0.370451729
Q5T124,UBXN11,UBX domain-containing protein 11,18.295,18.175,-0.12,0.368543475
P17706,PTPN2,Tyrosine-protein phosphatase non-receptor type 2,20.8925,20.8,-0.0925,0.367142358
P19823,ITIH2,Inter-alpha-trypsin inhibitor heavy chain H2,19.67,19.76,0.09,0.366672178
Q96BI1,SLC22A18,Solute carrier family 22 member 18,19.2375,19.19,-0.0475,0.36502373
Q9UJ41,RABGEF1,Rab5 GDP/GTP exchange factor,22.07,22.05,-0.02,0.36342607
Q14534,SQLE,Squalene monooxygenase,17.695,17.5775,-0.1175,0.361870388
Q8NBQ5,HSD17B11,Estradiol 17-beta-dehydrogenase 11,22.1275,22.1675,0.04,0.360959246
Q9NUP1,BLOC1S4,Biogenesis of lysosome-related organelles complex 1 subunit 4,18.015,18.1,0.085,0.360796085
Q13948,CUX1,Protein CASP,18.54,18.46,-0.08,0.360338154
P56182,RRP1,Ribosomal RNA processing protein 1 homolog A,20.8775,20.8325,-0.045,0.359884639
Q8IX19,MCEMP1,Mast cell-expressed membrane protein 1,21.41,21.3,-0.11,0.358090619
O14972,DSCR3,Down syndrome critical region protein 3,19.925,19.8825,-0.0425,0.358029656
P47224,RABIF,Guanine nucleotide exchange factor MSS4,18.9325,18.8325,-0.1,0.357054495
Q68E01,INTS3,Integrator complex subunit 3,20.3575,20.275,-0.0825,0.357017015
P36915,GNL1,Guanine nucleotide-binding protein-like 1,21.02,20.97,-0.05,0.356650048
Q7Z4W1,DCXR,L-xylulose reductase,22.5425,22.4575,-0.085,0.355791111
P46108,CRK,Adapter molecule crk,20.605,20.5375,-0.0675,0.354791948
O14683,TP53I11,Tumor protein p53-inducible protein 11,18.4975,18.34,-0.1575,0.354389288
Q8N0W3,FUK,L-fucose kinase,17.76,17.75,-0.01,0.353387466
Q8IXI2,RHOT1,Mitochondrial Rho GTPase 1,19.44,19.3725,-0.0675,0.351178522
Q5BJH7,YIF1B,Protein YIF1B,16.685,16.7125,0.0275,0.350997802
Q8NE86,MCU,"Calcium uniporter protein, mitochondrial",19.895,19.8075,-0.0875,0.349359993
P04150,NR3C1,Glucocorticoid receptor,22.0275,22.07,0.0425,0.348936049
Q9NX20,MRPL16,"39S ribosomal protein L16, mitochondrial",18.6275,18.5225,-0.105,0.348584517
O15525,MAFG,Transcription factor MafG,18.9175,19.05,0.1325,0.346871904
O95685,PPP1R3D,Protein phosphatase 1 regulatory subunit 3D,18.04,17.9425,-0.0975,0.346835938
P21589,NT5E,5'-nucleotidase,19.4225,19.2475,-0.175,0.346472566
Q5D1E8,ZC3H12A,Ribonuclease ZC3H12A,21.9875,21.8675,-0.12,0.34554735
Q7LG56,RRM2B,Ribonucleoside-diphosphate reductase subunit M2 B,18.76,18.73,-0.03,0.344064805
O15270,SPTLC2,Serine palmitoyltransferase 2,21.83,21.8,-0.03,0.344064805
Q15800,MSMO1,Methylsterol monooxygenase 1,17.7825,17.7475,-0.035,0.343967645
Q9GZM8,NDEL1,Nuclear distribution protein nudE-like 1,17.105,17.03,-0.075,0.341576
P52564,MAP2K6,Dual specificity mitogen-activated protein kinase kinase 6,18.7775,18.7,-0.0775,0.341489446
Q9H944,MED20,Mediator of RNA polymerase II transcription subunit 20,18.9675,18.895,-0.0725,0.340981907
P32321,DCTD,Deoxycytidylate deaminase,19.14,19.08,-0.06,0.34046637
Q9Y274,ST3GAL6,"Type 2 lactosamine alpha-2,3-sialyltransferase",17.44,17.325,-0.115,0.338369955
O15554,KCNN4,Intermediate conductance calcium-activated potassium channel protein 4,19.21,19.0825,-0.1275,0.336477957
Q71SY5,MED25,Mediator of RNA polymerase II transcription subunit 25,16.6425,16.525,-0.1175,0.334476246
Q5M775,SPECC1,Cytospin-B,21.6025,21.5025,-0.1,0.334090544
Q9C0J8,WDR33,pre-mRNA 3' end processing protein WDR33,20.695,20.64,-0.055,0.333886986
Q86V21,AACS,Acetoacetyl-CoA synthetase,18.2175,18.145,-0.0725,0.332565888
P41214,EIF2D,Eukaryotic translation initiation factor 2D,18.585,18.4925,-0.0925,0.330433779
Q01543,FLI1,Friend leukemia integration 1 transcription factor,18.0525,17.9325,-0.12,0.328362206
P45954,ACADSB,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",19.1975,19.12,-0.0775,0.328119002
P48059,LIMS1,LIM and senescent cell antigen-like-containing domain protein 1,23.4625,23.3,-0.1625,0.327886442
P04233,CD74,HLA class II histocompatibility antigen gamma chain,20.315,20.155,-0.16,0.326662971
Q969S8,HDAC10,Histone deacetylase 10,17.46,18.02,0.56,0.326076267
Q96H20,SNF8,Vacuolar-sorting protein SNF8,21.07,20.9775,-0.0925,0.325599617
P09668,CTSH,Pro-cathepsin H,21.28,21.19,-0.09,0.325332687
Q9Y2K2,SIK3,Serine/threonine-protein kinase SIK3,19.34,19.2725,-0.0675,0.325141275
Q9NUJ3,TCP11L1,T-complex protein 11-like protein 1,17.75,17.5925,-0.1575,0.324828428
P05106,ITGB3,Integrin beta-3,21.0275,21.3275,0.3,0.324544978
O43353,RIPK2,Receptor-interacting serine/threonine-protein kinase 2,20.5275,20.4375,-0.09,0.324181851
Q9UMR7,CLEC4A,C-type lectin domain family 4 member A,18.5475,18.96,0.4125,0.324125208
Q6PL24,TMED8,Protein TMED8,18.7975,18.7475,-0.05,0.323558028
P11169,SLC2A3,"Solute carrier family 2, facilitated glucose transporter member 3",22.23,22.3225,0.0925,0.322869847
P50148,GNAQ,Guanine nucleotide-binding protein G(q) subunit alpha,21.935,21.8725,-0.0625,0.321903087
Q9Y223,GNE,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase,18.1925,18.1,-0.0925,0.320662832
Q9Y624,F11R,Junctional adhesion molecule A,19.065,18.9025,-0.1625,0.319914928
O95425,SVIL,Supervillin,20.605,20.58,-0.025,0.31977974
Q4G0P3,HYDIN,Hydrocephalus-inducing protein homolog,17.3775,17.2975,-0.08,0.319511774
Q96FZ2,HMCES,Embryonic stem cell-specific 5-hydroxymethylcytosine-binding protein,18.2075,18.165,-0.0425,0.319225546
P11274,BCR,Breakpoint cluster region protein,17.9875,17.8975,-0.09,0.318931792
P02647,APOA1,Apolipoprotein A-I,20.285,20.485,0.2,0.317266786
Q96FZ7,CHMP6,Charged multivesicular body protein 6,20.4825,20.3925,-0.09,0.317155367
Q6P3X3,TTC27,Tetratricopeptide repeat protein 27,17.925,17.7675,-0.1575,0.31680333
Q13951,CBFB,Core-binding factor subunit beta,20.3,20.22,-0.08,0.315000245
O60645,EXOC3,Exocyst complex component 3,21.34,21.28,-0.06,0.314915881
Q96CB9,NSUN4,5-methylcytosine rRNA methyltransferase NSUN4,18.7825,18.625,-0.1575,0.314066361
Q7Z7H5,TMED4,Transmembrane emp24 domain-containing protein 4,21.0025,20.87,-0.1325,0.313455595
Q9BY43,CHMP4A,Charged multivesicular body protein 4a,21.21,21.105,-0.105,0.313229208
Q9P2X0,DPM3,Dolichol-phosphate mannosyltransferase subunit 3,17.0075,16.79,-0.2175,0.312688532
Q9P219,CCDC88C,Protein Daple,19.4225,19.2825,-0.14,0.312617951
O00567,NOP56,Nucleolar protein 56,22.8875,22.7775,-0.11,0.312572422
Q96NT0,CCDC115,Coiled-coil domain-containing protein 115,18.355,17.97,-0.385,0.312531026
Q9GZP4,PITHD1,PITH domain-containing protein 1,17.9925,17.8725,-0.12,0.312200283
Q16513,PKN2,Serine/threonine-protein kinase N2,18.245,18.06,-0.185,0.30814107
Q53EL6,PDCD4,Programmed cell death protein 4,17.4375,17.275,-0.1625,0.308091685
Q13217,DNAJC3,DnaJ homolog subfamily C member 3,23.335,23.2525,-0.0825,0.305945899
Q9NUQ6,SPATS2L,SPATS2-like protein,18.4075,18.2925,-0.115,0.304831596
Q9H0E3,SAP130,Histone deacetylase complex subunit SAP130,18.4525,18.3375,-0.115,0.304831596
O43315,AQP9,Aquaporin-9,18.4075,18.54,0.1325,0.304660821
P30273,FCER1G,High affinity immunoglobulin epsilon receptor subunit gamma,21.6775,21.775,0.0975,0.302815371
Q53EP0,FNDC3B,Fibronectin type III domain-containing protein 3B,20.9975,21.065,0.0675,0.302655989
Q9UH65,SWAP70,Switch-associated protein 70,22.7075,22.6575,-0.05,0.301989887
P32189,GK,Glycerol kinase,22.285,22.4125,0.1275,0.301558021
P35270,SPR,Sepiapterin reductase,20.945,20.755,-0.19,0.301466449
Q9NX00,TMEM160,Transmembrane protein 160,18.395,18.205,-0.19,0.301324016
O60563,CCNT1,Cyclin-T1,18.465,18.405,-0.06,0.299584363
P24158,PRTN3,Myeloblastin,19.295,19.03,-0.265,0.299033568
Q9H4Z3,PCIF1,Phosphorylated CTD-interacting factor 1,18.945,18.8875,-0.0575,0.299012463
Q8WZA0,LZIC,Protein LZIC,20.825,20.76,-0.065,0.297789732
Q6RW13,AGTRAP,Type-1 angiotensin II receptor-associated protein,21.4925,21.3175,-0.175,0.296613282
Q9NY33,DPP3,Dipeptidyl peptidase 3,23.5675,23.46,-0.1075,0.296601151
Q16773,CCBL1,Kynurenine--oxoglutarate transaminase 1,17.56,17.4325,-0.1275,0.295152898
Q96EB6,SIRT1,NAD-dependent protein deacetylase sirtuin-1,18.6225,18.5675,-0.055,0.293589227
Q9ULS5,TMCC3,Transmembrane and coiled-coil domains protein 3,19.6175,19.495,-0.1225,0.293338405
P52788,SMS,Spermine synthase,22.2375,22.4,0.1625,0.292445612
Q7Z406,MYH14,Myosin-14,20.775,20.7275,-0.0475,0.292326979
Q5VZK9,LRRC16A,Leucine-rich repeat-containing protein 16A,19.5875,19.41,-0.1775,0.290990135
Q2KHT3,CLEC16A,Protein CLEC16A,18.725,18.605,-0.12,0.290794958
P50750,CDK9,Cyclin-dependent kinase 9,19.525,19.4025,-0.1225,0.289771717
Q13636,RAB31,Ras-related protein Rab-31,21.68,21.6275,-0.0525,0.28945218
O95926,SYF2,Pre-mRNA-splicing factor SYF2,19.26,19.1225,-0.1375,0.288840919
Q9NPF5,DMAP1,DNA methyltransferase 1-associated protein 1,20.68,20.6125,-0.0675,0.288798514
Q9Y4Y9,LSM5,U6 snRNA-associated Sm-like protein LSm5,18.31,18.255,-0.055,0.288267837
O14734,ACOT8,Acyl-coenzyme A thioesterase 8,18.5625,18.465,-0.0975,0.287847832
Q9BQA1,WDR77,Methylosome protein 50,19.28,19.1025,-0.1775,0.287561181
Q9Y385,UBE2J1,Ubiquitin-conjugating enzyme E2 J1,21.305,21.1275,-0.1775,0.286869687
P15144,ANPEP,Aminopeptidase N,24.875,24.76,-0.115,0.286529856
Q8NFY9,KBTBD8,Kelch repeat and BTB domain-containing protein 8,19.055,19.23,0.175,0.286477259
Q9HCU5,PREB,Prolactin regulatory element-binding protein,20.515,20.43,-0.085,0.285980527
P07902,GALT,Galactose-1-phosphate uridylyltransferase,18.6275,18.5775,-0.05,0.285001323
P02786,TFRC,Transferrin receptor protein 1,23.5475,23.3325,-0.215,0.283677123
Q9HA65,TBC1D17,TBC1 domain family member 17,17.355,17.2475,-0.1075,0.283078887
Q8IVM0,CCDC50,Coiled-coil domain-containing protein 50,18.7225,18.8075,0.085,0.282931698
Q9BXR0,QTRT1,Queuine tRNA-ribosyltransferase,18.2875,18.155,-0.1325,0.281335341
P02042,HBD,Hemoglobin subunit delta,21.9975,21.675,-0.3225,0.280725376
Q96EV2,RBM33,RNA-binding protein 33,18.0425,17.955,-0.0875,0.280520733
P02749,APOH,Beta-2-glycoprotein 1,19.7975,19.9725,0.175,0.280338014
Q4G148,GXYLT1,Glucoside xylosyltransferase 1,18.76,18.665,-0.095,0.279591598
Q9NP64,ZCCHC17,Nucleolar protein of 40 kDa,17.02,16.88,-0.14,0.277962126
P04920,SLC4A2,Anion exchange protein 2,19.5125,19.455,-0.0575,0.277704223
Q5TEC3,ZNF697,Zinc finger protein 697,17.7325,17.555,-0.1775,0.276803293
Q12765,SCRN1,Secernin-1,20.4675,20.51,0.0425,0.275934028
P42229,STAT5A,Signal transducer and activator of transcription 5A,23.145,23.11,-0.035,0.275354185
Q9H115,NAPB,Beta-soluble NSF attachment protein,16.2825,16.175,-0.1075,0.275293689
Q86YT6,MIB1,E3 ubiquitin-protein ligase MIB1,17.5625,17.4425,-0.12,0.275022257
P16284,PECAM1,Platelet endothelial cell adhesion molecule,21.4175,21.31,-0.1075,0.274303558
Q14667,KIAA0100,Protein KIAA0100,18.5025,18.415,-0.0875,0.27385857
Q92747,ARPC1A,Actin-related protein 2/3 complex subunit 1A,21.08,20.975,-0.105,0.273796063
A6NI79,CCDC69,Coiled-coil domain-containing protein 69,18.1,18.045,-0.055,0.273498814
Q9UDY4,DNAJB4,DnaJ homolog subfamily B member 4,18.9775,18.8125,-0.165,0.271590829
Q9Y2Z4,YARS2,"Tyrosine--tRNA ligase, mitochondrial",20.1875,20.3,0.1125,0.269243281
O43310,CTIF,CBP80/20-dependent translation initiation factor,17.4475,17.3975,-0.05,0.269127775
Q8NDX1,PSD4,PH and SEC7 domain-containing protein 4,19.39,19.2975,-0.0925,0.268943146
P02538,KRT6A,"Keratin, type II cytoskeletal 6A",18.8225,18.475,-0.3475,0.268525033
Q03188,CENPC,Centromere protein C,19.5225,19.44,-0.0825,0.268379082
Q9UH62,ARMCX3,Armadillo repeat-containing X-linked protein 3,19.9325,20.5925,0.66,0.268123104
Q8NHU6,TDRD7,Tudor domain-containing protein 7,20.415,20.325,-0.09,0.267911844
Q86VP3,PACS2,Phosphofurin acidic cluster sorting protein 2,17.605,17.4225,-0.1825,0.267706741
P50583,NUDT2,Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical],19.5,19.3325,-0.1675,0.267691636
P09488,GSTM1,Glutathione S-transferase Mu 1,21.155,21.25,0.095,0.26748948
