SWPROT,Gene,description,AverageFC_Vehicle,AverageFC_LPS,LPS_Log2FC,pvalue_ttest1
Q9Y2Q9,MRPS28,"28S ribosomal protein S28, mitochondrial",17.8125,17.9175,0.105,0.028147028
Q9NYU2,UGGT1,UDP-glucose:glycoprotein glucosyltransferase 1,24.38,24.455,0.075,0.095708925
Q00653,NFKB2,Nuclear factor NF-kappa-B p100 subunit,22.0225,22.4175,0.395,0.036190629
P54252,ATXN3,Ataxin-3,19.6125,19.6775,0.065,0.2172241
Q99572,P2RX7,P2X purinoceptor 7,20.07,20.235,0.165,0.013218651
Q12874,SF3A3,Splicing factor 3A subunit 3,23.0925,23.15,0.0575,0.116292618
P12694,BCKDHA,"2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial",18.4525,18.5625,0.11,0.160636483
Q9Y484,WDR45,WD repeat domain phosphoinositide-interacting protein 4,18.595,18.6975,0.1025,0.254690112
Q01459,CTBS,Di-N-acetylchitobiase,19.445,19.555,0.11,0.260338163
O95785,WIZ,Protein Wiz,17.3225,17.46,0.1375,0.124665794
P61224,RAP1B,Ras-related protein Rap-1b,24.5575,24.6225,0.065,0.039014854
Q9BZQ2,SHCBP1L,SHC SH2 domain-binding protein 1-like protein,18.2375,18.6975,0.46,0.227450447
Q16549,PCSK7,Proprotein convertase subtilisin/kexin type 7,16.6575,16.8,0.1425,0.046996078
P51991,HNRNPA3,Heterogeneous nuclear ribonucleoprotein A3,24.4325,24.5225,0.09,0.066593784
P41236,PPP1R2,Protein phosphatase inhibitor 2,20.1775,20.265,0.0875,0.030143718
Q13217,DNAJC3,DnaJ homolog subfamily C member 3,23.335,23.485,0.15,0.032672801
O15047,SETD1A,Histone-lysine N-methyltransferase SETD1A,19.55,19.75,0.2,0.052071885
P30084,ECHS1,"Enoyl-CoA hydratase, mitochondrial",24.0225,24.0925,0.07,0.374927945
Q9Y3D7,PAM16,Mitochondrial import inner membrane translocase subunit TIM16,19.135,19.29,0.155,0.392573908
Q562E7,WDR81,WD repeat-containing protein 81,19.815,19.88,0.065,0.282504802
Q16875,PFKFB3,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3",22.3075,22.82,0.5125,0.110210644
O60637,TSPAN3,Tetraspanin-3,17.64,17.7275,0.0875,0.034041695
O14732,IMPA2,Inositol monophosphatase 2,21.1675,21.295,0.1275,0.138511829
Q969Q5,RAB24,Ras-related protein Rab-24,20.665,20.7325,0.0675,0.187316115
Q9Y333,LSM2,U6 snRNA-associated Sm-like protein LSm2,20.7975,20.8575,0.06,0.262413057
Q13126,MTAP,S-methyl-5'-thioadenosine phosphorylase,22.395,22.4525,0.0575,0.335360514
P48307,TFPI2,Tissue factor pathway inhibitor 2,21.22,21.9525,0.7325,0.258371245
Q14162,SCARF1,Scavenger receptor class F member 1,18.99,19.245,0.255,0.003102307
P43250,GRK6,G protein-coupled receptor kinase 6,20.4325,20.5,0.0675,0.160493171
Q7KZI7,MARK2,Serine/threonine-protein kinase MARK2,20.93,21,0.07,0.323863782
O75165,DNAJC13,DnaJ homolog subfamily C member 13,24.32,24.3825,0.0625,0.119915153
Q15293,RCN1,Reticulocalbin-1,21.5825,21.7325,0.15,0.013466017
Q9NZM3,ITSN2,Intersectin-2,21.9,21.9825,0.0825,0.207747503
Q9NRF9,POLE3,DNA polymerase epsilon subunit 3,19.0125,19.175,0.1625,0.004963324
O15231,ZNF185,Zinc finger protein 185,20.645,20.725,0.08,0.071100517
Q15286,RAB35,Ras-related protein Rab-35,21.5825,21.6375,0.055,0.368158172
P08962,CD63,CD63 antigen,25.575,25.3775,-0.1975,0.151198334
P52272,HNRNPM,Heterogeneous nuclear ribonucleoprotein M,25.9475,26.02,0.0725,0.257720839
P09110,ACAA1,"3-ketoacyl-CoA thiolase, peroxisomal",21.675,21.7975,0.1225,0.036023795
Q14145,KEAP1,Kelch-like ECH-associated protein 1,19.0475,19.1075,0.06,0.196793704
Q4KMQ2,ANO6,Anoctamin-6,20.59,20.7075,0.1175,0.222754264
O00217,NDUFS8,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial",21.725,21.785,0.06,0.228702299
P15927,RPA2,Replication protein A 32 kDa subunit,22.41,22.4825,0.0725,0.418548761
P01583,IL1A,Interleukin-1 alpha,22.775,23.37,0.595,0.106587451
Q96MG7,NDNL2,Melanoma-associated antigen G1,17.0575,17.14,0.0825,0.214121062
P27144,AK4,"Adenylate kinase 4, mitochondrial",21.4675,21.6425,0.175,0.090167558
O60231,DHX16,Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16,21.2275,21.2825,0.055,0.099114029
Q8WU76,SCFD2,Sec1 family domain-containing protein 2,16.93,17.3425,0.4125,0.300941992
P02751,FN1,Fibronectin,20.7975,20.99,0.1925,0.231712629
P08246,ELANE,Neutrophil elastase,22.3875,22.0725,-0.315,0.004043444
Q9BWJ5,SF3B5,Splicing factor 3B subunit 5,19.4075,19.63,0.2225,0.297549636
P51114,FXR1,Fragile X mental retardation syndrome-related protein 1,21.39,21.485,0.095,0.296431087
P41226,UBA7,Ubiquitin-like modifier-activating enzyme 7,22,22.06,0.06,0.077679384
P12270,TPR,Nucleoprotein TPR,24.24,24.31,0.07,0.302909319
O14867,BACH1,Transcription regulator protein BACH1,20.535,20.6625,0.1275,0.150523585
Q96G03,PGM2,Phosphoglucomutase-2,24.105,24.18,0.075,0.092165549
P17010,ZFX,Zinc finger X-chromosomal protein,18.06,18.2175,0.1575,0.020069703
Q9ULF5,SLC39A10,Zinc transporter ZIP10,16.805,16.5825,-0.2225,0.376147303
Q6PJW8,CNST,Consortin,18.2775,18.44,0.1625,0.243620099
Q9NRX5,SERINC1,Serine incorporator 1,18.755,18.9025,0.1475,0.19712321
Q9UG63,ABCF2,ATP-binding cassette sub-family F member 2,21.6575,21.7,0.0425,0.098944597
O43414,ERI3,ERI1 exoribonuclease 3,18.4325,18.495,0.0625,0.022411373
Q9BX59,TAPBPL,Tapasin-related protein,18.655,18.735,0.08,0.064663937
P21127,CDK11B,Cyclin-dependent kinase 11B,22.57,22.63,0.06,0.232452874
P23246,SFPQ,"Splicing factor, proline- and glutamine-rich",26.0725,26.19,0.1175,0.052678939
P11177,PDHB,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",22.385,22.47,0.085,0.160061112
Q9BVJ7,DUSP23,Dual specificity protein phosphatase 23,18.68,18.7475,0.0675,0.30600081
O94913,PCF11,Pre-mRNA cleavage complex 2 protein Pcf11,21.0125,21.1775,0.165,0.10774474
P27694,RPA1,Replication protein A 70 kDa DNA-binding subunit,23.0425,23.11,0.0675,0.249030796
Q15283,RASA2,Ras GTPase-activating protein 2,20.445,20.56,0.115,0.095678875
P40855,PEX19,Peroxisomal biogenesis factor 19,20.9125,20.8125,-0.1,0.037473494
P35625,TIMP3,Metalloproteinase inhibitor 3,17.8875,18.08,0.1925,0.227692067
O75312,ZPR1,Zinc finger protein ZPR1,21.615,21.7025,0.0875,0.047333492
P68363,TUBA1B,Tubulin alpha-1B chain,27.8225,27.89,0.0675,0.227417475
Q9NP61,ARFGAP3,ADP-ribosylation factor GTPase-activating protein 3,23.8525,23.945,0.0925,0.066520345
Q9BVG4,PBDC1,Protein PBDC1,21.51,21.475,-0.035,0.306017757
P57737,CORO7,Coronin-7,23.4,23.47,0.07,0.166733336
Q8ND04,SMG8,Protein SMG8,20.3425,20.47,0.1275,0.270981196
Q9P2I0,CPSF2,Cleavage and polyadenylation specificity factor subunit 2,20.42,20.525,0.105,0.251507352
Q8N183,NDUFAF2,"Mimitin, mitochondrial",20.395,20.46,0.065,0.250363669
P60468,SEC61B,Protein transport protein Sec61 subunit beta,20.39,20.5625,0.1725,0.04726322
Q9Y6E2,BZW2,Basic leucine zipper and W2 domain-containing protein 2,21.915,21.9725,0.0575,0.209853169
Q8N2G8,GHDC,GH3 domain-containing protein,20.22,20.3975,0.1775,0.167028999
Q6YHK3,CD109,CD109 antigen,18.4825,18.1825,-0.3,0.01471196
Q2TAZ0,ATG2A,Autophagy-related protein 2 homolog A,18.77,18.88,0.11,0.263320831
Q9UKA4,AKAP11,A-kinase anchor protein 11,19.02,19.1,0.08,0.085437436
Q59GN2,RPL39P5,Putative 60S ribosomal protein L39-like 5,19.5825,19.85,0.2675,0.054683623
P61313,RPL15,60S ribosomal protein L15,24.2425,24.3175,0.075,0.037585921
P43246,MSH2,DNA mismatch repair protein Msh2,22.09,22.195,0.105,0.202624704
P11310,ACADM,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",23.055,23.155,0.1,0.19947717
Q96PU8,QKI,Protein quaking,22.2275,22.3725,0.145,0.047033565
Q12765,SCRN1,Secernin-1,20.4675,20.695,0.2275,0.066116855
P55884,EIF3B,Eukaryotic translation initiation factor 3 subunit B,24.12,24.175,0.055,0.065636433
Q12873,CHD3,Chromodomain-helicase-DNA-binding protein 3,16.3675,16.5575,0.19,0.10944225
Q9NSI2,FAM207A,Protein FAM207A,17.66,17.5225,-0.1375,0.381111054
Q86Y39,NDUFA11,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11,20.535,20.7175,0.1825,0.009713553
P62191,PSMC1,26S protease regulatory subunit 4,24.1725,24.2225,0.05,0.226046789
Q99623,PHB2,Prohibitin-2,24.255,24.33,0.075,0.267039813
P47755,CAPZA2,F-actin-capping protein subunit alpha-2,22.895,22.9825,0.0875,0.11450132
P29558,RBMS1,"RNA-binding motif, single-stranded-interacting protein 1",20.975,20.8625,-0.1125,0.038186054
P55795,HNRNPH2,Heterogeneous nuclear ribonucleoprotein H2,22.05,22.1675,0.1175,0.042991853
Q15366,PCBP2,Poly(rC)-binding protein 2,23.4275,23.495,0.0675,0.330192303
P53597,SUCLG1,"Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial",22.315,22.395,0.08,0.242288455
Q9BY44,EIF2A,Eukaryotic translation initiation factor 2A,23.1125,23.195,0.0825,0.044037854
Q8TC07,TBC1D15,TBC1 domain family member 15,21.545,21.66,0.115,0.104619195
P22234,PAICS,Multifunctional protein ADE2,23.3375,23.3875,0.05,0.203210897
Q6NYC8,PPP1R18,Phostensin,24.015,24.0975,0.0825,0.358791176
P35249,RFC4,Replication factor C subunit 4,20.585,20.695,0.11,0.051122937
P28799,GRN,Granulins,21.8375,21.7775,-0.06,0.066275603
Q9Y3D0,FAM96B,Mitotic spindle-associated MMXD complex subunit MIP18,15.325,15.5425,0.2175,0.085197981
P22695,UQCRC2,"Cytochrome b-c1 complex subunit 2, mitochondrial",23.87,23.945,0.075,0.133074259
Q7Z7N9,TMEM179B,Transmembrane protein 179B,18.635,18.7675,0.1325,0.095590075
P10147,CCL3,C-C motif chemokine 3,22.0375,22.87,0.8325,0.045494673
P30040,ERP29,Endoplasmic reticulum resident protein 29,24.455,24.5475,0.0925,0.249789703
Q9UHX1,PUF60,Poly(U)-binding-splicing factor PUF60,23.415,23.46,0.045,0.102728079
P04062,GBA,Glucosylceramidase,21.025,20.9425,-0.0825,0.218293999
Q53EU6,GPAT3,Glycerol-3-phosphate acyltransferase 3,21.4325,21.51,0.0775,0.281827277
Q9Y4H2,IRS2,Insulin receptor substrate 2,18.495,18.6675,0.1725,0.199429346
Q9NQ25,SLAMF7,SLAM family member 7,20.6575,21.02,0.3625,0.00482087
Q8N1G2,CMTR1,Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1,19.925,20.02,0.095,0.042073465
O14980,XPO1,Exportin-1,23.97,24.04,0.07,0.09579002
Q6R327,RICTOR,Rapamycin-insensitive companion of mTOR,19.1025,19.18,0.0775,0.001933293
Q9H2A7,CXCL16,C-X-C motif chemokine 16,19.2375,18.8225,-0.415,0.032633885
Q9H4M9,EHD1,EH domain-containing protein 1,24.3225,24.62,0.2975,0.065876944
Q12906,ILF3,Interleukin enhancer-binding factor 3,25,25.0525,0.0525,0.244612547
Q7Z392,TRAPPC11,Trafficking protein particle complex subunit 11,21.385,21.43,0.045,0.185595708
Q9BTT0,ANP32E,Acidic leucine-rich nuclear phosphoprotein 32 family member E,22.785,22.86,0.075,0.133074259
P41252,IARS,"Isoleucine--tRNA ligase, cytoplasmic",23.945,23.9875,0.0425,0.187149844
Q96T51,RUFY1,RUN and FYVE domain-containing protein 1,22.535,22.625,0.09,0.11821163
P46776,RPL27A,60S ribosomal protein L27a,23.6475,23.7,0.0525,0.277416992
P50395,GDI2,Rab GDP dissociation inhibitor beta,25.83,25.8625,0.0325,0.384372874
Q9ULP9,TBC1D24,TBC1 domain family member 24,19.4425,19.55,0.1075,0.198611567
Q9UHR5,SAP30BP,SAP30-binding protein,20.1075,20.1875,0.08,0.119125527
O60832,DKC1,H/ACA ribonucleoprotein complex subunit 4,22.6925,22.785,0.0925,0.191081837
O95433,AHSA1,Activator of 90 kDa heat shock protein ATPase homolog 1,23.2275,23.3,0.0725,0.239691283
P27824,CANX,Calnexin,26.4275,26.525,0.0975,0.029791331
P57764,GSDMD,Gasdermin-D,21.1825,21.235,0.0525,0.338856784
O43865,AHCYL1,Adenosylhomocysteinase 2,24.4525,24.34,-0.1125,0.051138518
Q9H2K8,TAOK3,Serine/threonine-protein kinase TAO3,22.8575,22.91,0.0525,0.215169943
O00175,CCL24,C-C motif chemokine 24,20.6425,20.26,-0.3825,0.028793388
O00231,PSMD11,26S proteasome non-ATPase regulatory subunit 11,23.6725,23.7175,0.045,0.092954837
Q04727,TLE4,Transducin-like enhancer protein 4,17.575,17.6725,0.0975,0.057668886
Q13423,NNT,"NAD(P) transhydrogenase, mitochondrial",24.8125,24.9075,0.095,0.163558148
Q9Y3D8,AK6,Adenylate kinase isoenzyme 6,18.6875,18.785,0.0975,0.055494156
Q7Z6Z7,HUWE1,E3 ubiquitin-protein ligase HUWE1,23.76,23.81,0.05,0.206164719
Q8NAV1,PRPF38A,Pre-mRNA-splicing factor 38A,20.435,20.4925,0.0575,0.294255106
P14550,AKR1A1,Alcohol dehydrogenase [NADP(+)],23.58,23.615,0.035,0.288962091
Q6ZMD2,SPNS3,Protein spinster homolog 3,17.0625,17.3225,0.26,0.03676774
Q92947,GCDH,"Glutaryl-CoA dehydrogenase, mitochondrial",21.835,21.94,0.105,0.408083933
Q9Y376,CAB39,Calcium-binding protein 39,24.165,24.14,-0.025,0.430890462
Q14956,GPNMB,Transmembrane glycoprotein NMB,18.79,18.3875,-0.4025,0.209225384
P24539,ATP5F1,"ATP synthase F(0) complex subunit B1, mitochondrial",23.6575,23.7125,0.055,0.176385075
P08195,SLC3A2,4F2 cell-surface antigen heavy chain,24.4475,24.5575,0.11,0.117533653
P19367,HK1,Hexokinase-1,24.8275,24.92,0.0925,0.158818442
P48735,IDH2,"Isocitrate dehydrogenase [NADP], mitochondrial",24.91,25.0075,0.0975,0.168228995
Q8N1I0,DOCK4,Dedicator of cytokinesis protein 4,22.06,22.14,0.08,0.053362723
P63279,UBE2I,SUMO-conjugating enzyme UBC9,22.9075,22.9525,0.045,0.321279687
Q9NVV4,MTPAP,"Poly(A) RNA polymerase, mitochondrial",18.8975,19.0925,0.195,0.197204608
Q92917,GPKOW,G patch domain and KOW motifs-containing protein,19.575,19.64,0.065,0.474153421
P40306,PSMB10,Proteasome subunit beta type-10,21.1525,21.205,0.0525,0.300931488
Q6UX53,METTL7B,Methyltransferase-like protein 7B,23.6425,23.41,-0.2325,0.363674365
P21926,CD9,CD9 antigen,24.23,23.7775,-0.4525,0.244730543
P48960,CD97,CD97 antigen,22.2625,22.3675,0.105,0.039942226
Q9UBE0,SAE1,SUMO-activating enzyme subunit 1,22.3175,22.35,0.0325,0.394239
Q9NTX5,ECHDC1,Ethylmalonyl-CoA decarboxylase,23.1425,23.215,0.0725,0.124545918
Q9Y3C8,UFC1,Ubiquitin-fold modifier-conjugating enzyme 1,21.6775,21.7225,0.045,0.002895812
Q68CZ2,TNS3,Tensin-3,24.585,24.35,-0.235,0.266800073
P06858,LPL,Lipoprotein lipase,22.1775,21.8425,-0.335,0.18897988
Q9UL25,RAB21,Ras-related protein Rab-21,21.6275,21.7975,0.17,0.1137604
P17987,TCP1,T-complex protein 1 subunit alpha,24.075,24.1725,0.0975,0.051148166
O75390,CS,"Citrate synthase, mitochondrial",24.22,24.2725,0.0525,0.050173768
Q96CN7,ISOC1,Isochorismatase domain-containing protein 1,19.8475,19.925,0.0775,0.14862225
P19397,CD53,Leukocyte surface antigen CD53,23.5225,23.405,-0.1175,0.051183546
Q9Y266,NUDC,Nuclear migration protein nudC,23.5075,23.5775,0.07,0.260980167
Q96ME7,ZNF512,Zinc finger protein 512,20.82,20.8625,0.0425,0.199874704
Q92783,STAM,Signal transducing adapter molecule 1,20.5025,20.6125,0.11,0.072439717
P20674,COX5A,"Cytochrome c oxidase subunit 5A, mitochondrial",23.4825,23.5825,0.1,0.191868939
Q96GQ7,DDX27,Probable ATP-dependent RNA helicase DDX27,21.73,21.785,0.055,0.39550904
P05026,ATP1B1,Sodium/potassium-transporting ATPase subunit beta-1,21.6175,21.825,0.2075,0.216307861
Q70IA6,MOB2,MOB kinase activator 2,19.655,19.76,0.105,0.273274573
O00410,IPO5,Importin-5,23.78,23.87,0.09,0.2379857
Q8NHV1,GIMAP7,GTPase IMAP family member 7,19.985,20.17,0.185,0.117738346
Q13148,TARDBP,TAR DNA-binding protein 43,22.9475,23.3525,0.405,0.286844125
O15382,BCAT2,"Branched-chain-amino-acid aminotransferase, mitochondrial",22.165,22.24,0.075,0.271199002
O14828,SCAMP3,Secretory carrier-associated membrane protein 3,20.9625,21.0525,0.09,0.423551026
Q8IYB3,SRRM1,Serine/arginine repetitive matrix protein 1,22.1525,22.195,0.0425,0.036833394
Q8IWE5,PLEKHM2,Pleckstrin homology domain-containing family M member 2,19.9425,19.8775,-0.065,0.370451729
P14854,COX6B1,Cytochrome c oxidase subunit 6B1,23.4925,23.64,0.1475,0.258081559
O75191,XYLB,Xylulose kinase,17.9375,18.12,0.1825,0.105752762
O43681,ASNA1,ATPase ASNA1,22.255,22.285,0.03,0.339254051
Q5VWQ0,RSBN1,Round spermatid basic protein 1,18.3,18.695,0.395,0.245649435
P43897,TSFM,"Elongation factor Ts, mitochondrial",20.5075,20.615,0.1075,0.172079545
P42566,EPS15,Epidermal growth factor receptor substrate 15,22.7375,22.815,0.0775,0.16012474
Q12888,TP53BP1,Tumor suppressor p53-binding protein 1,19.8975,19.995,0.0975,0.244350711
Q9HDC9,APMAP,Adipocyte plasma membrane-associated protein,23.0775,23.14,0.0625,0.297767993
Q02318,CYP27A1,"Sterol 26-hydroxylase, mitochondrial",22.2475,22.1175,-0.13,0.188675429
Q9UMX5,NENF,Neudesin,20.375,20.4575,0.0825,0.135713319
O43707,ACTN4,Alpha-actinin-4,25.865,25.945,0.08,0.159835944
Q8NB16,MLKL,Mixed lineage kinase domain-like protein,21.68,21.805,0.125,0.211754812
P21964,COMT,Catechol O-methyltransferase,23.3525,23.405,0.0525,0.393487556
Q9H583,HEATR1,HEAT repeat-containing protein 1,22.2225,22.3125,0.09,0.440837194
Q9Y3B7,MRPL11,"39S ribosomal protein L11, mitochondrial",20.3125,20.3725,0.06,0.196793704
P17858,PFKL,"ATP-dependent 6-phosphofructokinase, liver type",24.5025,24.5975,0.095,0.100793027
P42677,RPS27,40S ribosomal protein S27,22.395,22.52,0.125,0.031734933
Q96L58,B3GALT6,"Beta-1,3-galactosyltransferase 6",17.0825,17.3825,0.3,0.319515084
Q9P275,USP36,Ubiquitin carboxyl-terminal hydrolase 36,18.7425,18.8575,0.115,0.005109115
Q14586,ZNF267,Zinc finger protein 267,19.1475,19.4625,0.315,0.024149678
Q9H0A0,NAT10,RNA cytidine acetyltransferase,22.0375,22.105,0.0675,0.028629519
Q7Z7A1,CNTRL,Centriolin,19.5025,19.64,0.1375,0.13969774
O75533,SF3B1,Splicing factor 3B subunit 1,24.205,24.2575,0.0525,0.190936482
Q6ZVF9,GPRIN3,G protein-regulated inducer of neurite outgrowth 3,19.7225,19.3575,-0.365,0.112363728
Q8TD22,SFXN5,Sideroflexin-5,18.0475,18.145,0.0975,0.09204987
P53618,COPB1,Coatomer subunit beta,24.505,24.5725,0.0675,0.197442933
P39023,RPL3,60S ribosomal protein L3,25.4425,25.4775,0.035,0.125298087
Q93074,MED12,Mediator of RNA polymerase II transcription subunit 12,19.445,19.5975,0.1525,0.027238359
Q9UIA0,CYTH4,Cytohesin-4,21.6375,21.465,-0.1725,0.052806824
Q8IWA5,SLC44A2,Choline transporter-like protein 2,20.535,20.4275,-0.1075,0.034909057
O95149,SNUPN,Snurportin-1,18.6325,18.7025,0.07,0.001207702
P19838,NFKB1,Nuclear factor NF-kappa-B p105 subunit,23.67,23.755,0.085,0.19038065
O43432,EIF4G3,Eukaryotic translation initiation factor 4 gamma 3,20.4775,20.555,0.0775,0.320341879
Q9NR30,DDX21,Nucleolar RNA helicase 2,24.315,24.3725,0.0575,0.02500736
P47712,PLA2G4A,Cytosolic phospholipase A2,20.49,20.56,0.07,0.276516568
P09758,TACSTD2,Tumor-associated calcium signal transducer 2,17.96,17.34,-0.62,0.005381872
P35610,SOAT1,Sterol O-acyltransferase 1,22.2425,22.1375,-0.105,0.495741153
Q9H910,HN1L,Hematological and neurological expressed 1-like protein,20.2025,20.3075,0.105,0.07727429
P04733,MT1F,Metallothionein-1F,16.6275,15.93,-0.6975,0.009394112
Q9Y3B2,EXOSC1,Exosome complex component CSL4,19.165,19.2225,0.0575,0.022128418
Q14919,DRAP1,Dr1-associated corepressor,19.66,19.71,0.05,0.351737935
Q9Y2W2,WBP11,WW domain-binding protein 11,21.2025,21.265,0.0625,0.047978665
Q9UHQ9,CYB5R1,NADH-cytochrome b5 reductase 1,21.8575,21.935,0.0775,0.25032654
Q96JB2,COG3,Conserved oligomeric Golgi complex subunit 3,20.5225,20.5975,0.075,0.218945778
Q92804,TAF15,TATA-binding protein-associated factor 2N,22.8,22.8825,0.0825,0.158996854
P18031,PTPN1,Tyrosine-protein phosphatase non-receptor type 1,23.0725,23.1475,0.075,0.005509469
P49589,CARS,"Cysteine--tRNA ligase, cytoplasmic",22.18,22.2475,0.0675,0.166035264
O60762,DPM1,Dolichol-phosphate mannosyltransferase subunit 1,20.66,20.7675,0.1075,0.004938707
Q9NXE4,SMPD4,Sphingomyelin phosphodiesterase 4,18.9625,19.0725,0.11,0.157820898
P40937,RFC5,Replication factor C subunit 5,20.1375,20.2175,0.08,0.305711929
Q7L5N1,COPS6,COP9 signalosome complex subunit 6,21.6425,21.7525,0.11,0.012519776
P33993,MCM7,DNA replication licensing factor MCM7,21.1425,21.2875,0.145,0.156523426
Q32P28,P3H1,Prolyl 3-hydroxylase 1,19.94,20.04,0.1,0.103598876
Q9BW27,NUP85,Nuclear pore complex protein Nup85,19.9075,19.975,0.0675,0.277873132
P62805,HIST1H4A,Histone H4,29.6275,29.6925,0.065,0.373132388
Q9Y2Z9,COQ6,"Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial",17.495,17.6725,0.1775,0.202274902
Q53GS9,USP39,U4/U6.U5 tri-snRNP-associated protein 2,21.085,21.1925,0.1075,0.054389419
Q9NX63,CHCHD3,MI,22.76,22.83,0.07,0.189707587
Q9Y4W2,LAS1L,Ribosomal biogenesis protein LAS1L,19.9,19.9975,0.0975,0.294612784
Q9Y3I0,RTCB,tRNA-splicing ligase RtcB homolog,22.9275,22.9975,0.07,0.041559737
P05231,IL6,Interleukin-6,16.9225,17.995,1.0725,0.089139784
Q9GZR7,DDX24,ATP-dependent RNA helicase DDX24,20.835,20.935,0.1,0.171175164
Q9H3G5,CPVL,Probable serine carboxypeptidase CPVL,20.77,20.855,0.085,0.469087374
Q9UGI8,TES,Testin,23.675,23.745,0.07,0.249657368
Q969G3,SMARCE1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1,21.1675,21.2775,0.11,0.143395323
Q9BXI6,TBC1D10A,TBC1 domain family member 10A,18.64,18.7325,0.0925,0.147680574
P22102,GART,Trifunctional purine biosynthetic protein adenosine-3,23.4025,23.4625,0.06,0.264074909
P49841,GSK3B,Glycogen synthase kinase-3 beta,21.1525,21.245,0.0925,0.055655376
Q7Z6P3,RAB44,Ras-related protein Rab-44,21.3325,21.4325,0.1,0.112329282
O60784,TOM1,Target of Myb protein 1,21.925,21.985,0.06,0.018782784
P38919,EIF4A3,Eukaryotic initiation factor 4A-III,23.4225,23.4725,0.05,0.158611581
Q96RU3,FNBP1,Formin-binding protein 1,22.87,22.9725,0.1025,0.102390963
O75494,SRSF10,Serine/arginine-rich splicing factor 10,21.3825,21.4825,0.1,0.02752035
Q9NQZ5,STARD7,"StAR-related lipid transfer protein 7, mitochondrial",19.49,19.3675,-0.1225,0.053766077
P11021,HSPA5,78 kDa glucose-regulated protein,27.1475,27.225,0.0775,0.212255201
O15530,PDPK1,3-phosphoinositide-dependent protein kinase 1,21.78,22.155,0.375,0.338474753
Q9BXJ8,TMEM120A,Transmembrane protein 120A,17.84,18.0125,0.1725,0.318610409
Q9Y2X3,NOP58,Nucleolar protein 58,22.8075,22.8775,0.07,0.21838382
P08237,PFKM,"ATP-dependent 6-phosphofructokinase, muscle type",18.95,19.0675,0.1175,0.320120896
O95347,SMC2,Structural maintenance of chromosomes protein 2,22.135,22.2275,0.0925,0.257761591
Q09161,NCBP1,Nuclear cap-binding protein subunit 1,22.2325,22.32,0.0875,0.062168377
P34741,SDC2,Syndecan-2,19.7625,19.535,-0.2275,0.046570516
Q8TEA7,TBCK,TBC domain-containing protein kinase-like protein,17.58,17.705,0.125,0.27650729
Q07960,ARHGAP1,Rho GTPase-activating protein 1,23.36,23.4225,0.0625,0.220392609
P49711,CTCF,Transcriptional repressor CTCF,21.3475,21.43,0.0825,0.187769523
